freq_Hz,measured_mag,measured_phase_rad,fit_mag
26500,0.789655,0.314702,0.792384785924397
26700,0.78651,0.313999,0.789134233103171
26900,0.783104,0.313315,0.78588527432261
27100,0.778703,1.167185,0.782638808692854
27300,0.773755,0.312495,0.779395691298379
27500,0.772391,0.311552,0.776156734929641
27700,0.768138,0.313054,0.772922711757272
27900,0.764086,0.313151,0.769694354949943
28100,0.76155,1.194706,0.766472360237054
28300,0.757642,0.312956,0.76325738741747
28500,0.754822,0.314089,0.760050061815542
28700,0.750957,0.313523,0.756850975685714
28900,0.748951,0.313924,0.753660689567005
29100,0.744695,1.22964,0.750479733588693
29300,0.741919,0.315084,0.747308608728539
29500,0.737864,0.31519,0.744147788024857
29700,0.734987,1.249012,0.74099771774381
29900,0.732358,0.316307,0.737858818503204
30100,0.729514,0.316911,0.734731486354147
30300,0.72455,1.268507,0.731616093821851
30500,0.722813,1.272749,0.728512990906875
30700,0.718838,1.284132,0.725422506048079
30900,0.716072,1.289756,0.72234494704855
31100,0.712059,1.297055,0.719280601965721
31300,0.711272,0.319805,0.716229739966889
31500,0.707559,1.308733,0.713192612151316
31700,0.705234,0.322543,0.710169452340076
31900,0.701884,1.328916,0.707160477834754
32100,0.69939,0.325189,0.704165890146126
32300,0.696222,0.325978,0.701185875693865
32500,0.693965,0.328401,0.698220606478338
32700,0.690298,0.330197,0.695270240725491
32900,0.686865,0.330013,0.692334923505827
33100,0.6842,0.332698,0.689414787328409
33300,0.680493,1.381501,0.686509952710849
33500,0.678614,0.335995,0.68362052872615
33700,0.677395,0.337658,0.680746613527293
33900,0.674756,1.40368,0.677888294850413
34100,0.671066,0.340399,0.675045650497366
34300,0.668048,0.340292,0.672218748798492
34500,0.665132,0.343148,0.669407649056332
34700,0.662915,0.346046,0.666612401971032
34900,0.659151,0.347117,0.663833050048147
35100,0.654337,0.348899,0.66106962798954
35300,0.650776,0.351628,0.658322163068029
35500,0.643795,0.356203,0.655590675486425
35700,0.644687,0.35694,0.652875178721575
35900,0.642926,0.359795,0.650175679854007
36100,0.644711,0.360143,0.647492179883751
36300,0.646249,1.501894,0.644824674032875
36500,0.648058,1.50956,0.642173152035283
36700,0.649624,0.363425,0.63953759841427
36900,0.649298,0.364125,0.636917992748338
37100,0.646492,0.36812,0.63431430992574
37300,0.646656,0.368408,0.631726520388198
37500,0.643908,0.374812,0.629154590364253
37700,0.644119,1.556551,0.626598482092648
37900,0.640867,1.56789,0.624058154036157
38100,0.639251,0.377114,0.621533561086245
38300,0.636784,0.379889,0.619024654758939
38500,0.636031,0.382377,0.616531383382259
38700,0.632931,0.384798,0.614053692275557
38900,0.630518,1.60901,0.611591523921102
39100,0.628436,0.38967,0.609144818128218
39300,0.626435,0.392122,0.606713512190285
39500,0.623538,1.633664,0.6042975410349
39700,0.620159,1.645831,0.601896837367472
39900,0.618553,1.652936,0.599511331808523
40100,0.616867,0.402874,0.597140953024962
40300,0.615466,0.404553,0.594785627855572
40500,0.613972,1.680536,0.592445281430945
40700,0.608815,1.689785,0.590119837288113
40900,0.606575,0.412718,0.587809217480073
41100,0.604659,0.416621,0.585513342680431
41300,0.602435,1.714504,0.583232132283362
41500,0.600524,1.727902,0.580965504499083
41700,0.598133,0.423671,0.578713376445023
41900,0.595974,0.427187,0.576475664232869
42100,0.591957,0.432319,0.574252283051662
42300,0.590975,1.764019,0.572043147247105
42500,0.585982,1.770129,0.56984817039724
42700,0.586118,1.781798,0.567667265384652
42900,0.585146,1.788818,0.565500344465334
43100,0.580819,0.446331,0.563347319334362
43300,0.578477,0.450566,0.561208101188511
43500,0.577082,0.452368,0.559082600785936
43700,0.572767,1.827259,0.556970728503042
43900,0.572637,0.460665,0.554872394388675
44100,0.57167,1.854117,0.552787508215716
44300,0.565574,0.462262,0.550715979530218
44500,0.569815,0.475531,0.548657717698177
44700,0.568821,1.873421,0.546612631950026
44900,0.563937,0.476865,0.544580631422971
45100,0.559499,0.480316,0.542561625201236
45300,0.558247,0.483745,0.540555522354326
45500,0.555652,1.918927,0.538562231973373
45700,0.553227,0.490589,0.536581663205666
45900,0.550256,1.934177,0.534613725287424
46100,0.549602,0.499195,0.532658327574892
46300,0.547652,0.502163,0.530715379573842
46500,0.544388,0.505036,0.528784790967535
46700,0.542663,0.509406,0.526866471643204
46900,0.540705,0.512749,0.524960331717145
47100,0.537261,0.516781,0.523066281558448
47300,0.539061,2.004698,0.521184231811444
47500,0.535629,0.522332,0.519314093416919
47700,0.532448,0.528835,0.517455777632143
47900,0.531619,2.031587,0.515609196049769
48100,0.528067,0.532793,0.513774260615656
48300,0.526767,2.060365,0.51195088364565
48500,0.525659,0.54246,0.510138977841378
48700,0.522352,0.547322,0.508338456305096
48900,0.521153,2.089786,0.506549232553631
49100,0.518111,0.554033,0.504771220531453
49300,0.516186,2.109067,0.503004334622924
49500,0.51498,0.56186,0.501248489663751
49700,0.513206,0.565465,0.499503600951685
49900,0.510962,0.570915,0.49776958425649
50100,0.508568,0.575039,0.496046355829228
50300,0.507623,0.578914,0.494333832410877
50500,0.506026,0.582263,0.492631931240321
50700,0.504109,0.585926,0.490940570061733
50900,0.502394,0.591539,0.489259667131383
51100,0.500507,0.595155,0.487589141223896
51300,0.49788,0.599986,0.485928911637983
51500,0.496407,0.602179,0.484278898201672
51700,0.49584,0.605605,0.482639021277058
51900,0.492824,0.608819,0.481009201764598
52100,0.490578,2.254105,0.479389361106963
52300,0.489737,0.619235,0.477779421292487
52500,0.488177,0.622547,0.476179304858204
52700,0.485664,0.625723,0.474588934892521
52900,0.484189,0.630354,0.473008235037518
53100,0.482984,0.636657,0.471437129490913
53300,0.480855,0.639722,0.469875543007696
53500,0.4794,0.642948,0.468323400901451
53700,0.477427,0.649583,0.466780629045386
53900,0.475913,0.652772,0.465247153873072
54100,0.474782,0.657466,0.46372290237892
54300,0.474869,2.367192,0.462207802118405
54500,0.471431,0.665219,0.460701781208036
54700,0.469285,2.386581,0.459204768325107
54900,0.469635,2.397911,0.457716692707223
55100,0.467106,2.409308,0.456237484151618
55300,0.465414,0.684759,0.454767073014275
55500,0.462577,0.688842,0.453305390208865
55700,0.462412,2.44249,0.451852367205499
55900,0.460614,0.698159,0.450407936029317
56100,0.459071,0.696954,0.448972029258921
56300,0.457364,0.705405,0.447544580024647
56500,0.456572,2.485402,0.446125522006709
56700,0.455381,2.496835,0.444714789433191
56900,0.454224,2.50738,0.443312317077933
57100,0.451356,0.726848,0.441918040258275
57300,0.451561,2.527544,0.440531894832705
57500,0.448421,0.733345,0.439153817198392
57700,0.448165,2.547087,0.437783744288624
57900,0.445141,0.742376,0.436421613570144
58100,0.442962,0.743761,0.43506736304041
58300,0.441882,2.578716,0.433720931224761
58500,0.439305,0.753945,0.432382257173513
58700,0.43827,2.599881,0.431051280458976
58900,0.435414,0.761998,0.429727941172416
59100,0.434986,0.769162,0.428412179920934
59300,0.434652,2.634038,0.427103937824312
59500,0.432074,0.776491,0.42580315651178
59700,0.429819,0.783062,0.424509778118753
59900,0.427836,0.78897,0.423223745283506
60100,0.426015,2.682615,0.421945001143822
60300,0.425664,0.79617,0.420673489333587
60500,0.423548,0.8023,0.419409153979357
60700,0.422111,0.804723,0.418151939696894
60900,0.421567,0.809062,0.416901791587666
61100,0.418847,0.815549,0.415658655235328
61300,0.417812,0.820432,0.414422476702172
61500,0.417854,0.826238,0.413193202525568
61700,0.416123,2.771762,0.411970779714372
61900,0.413821,0.834699,0.410755155745328
62100,0.41335,0.839077,0.409546278559455
62300,0.411671,0.843536,0.408344096558421
62500,0.408939,0.848592,0.407148558600909
62700,0.408856,0.851685,0.405959613998974
