freq_Hz,measured_mag,measured_phase_rad,fit_mag
25100,0.101923,2.131324,0.104036074588974
25300,0.103704,2.126801,0.105889845612364
25500,0.105363,2.127324,0.107732990963663
25700,0.107245,2.13246,0.109565695199585
25900,0.107941,2.14506,0.111388137109419
26100,0.110219,2.153103,0.113200489933324
26300,0.112192,2.145623,0.115002921571001
26500,0.113268,2.160756,0.116795594781261
26700,0.115537,2.157824,0.118578667372938
26900,0.117062,2.164472,0.120352292387565
27100,0.11916,2.170236,0.122116618274241
27300,0.121004,2.178876,0.123871789057055
27500,0.12201,2.18051,0.125617944495452
27700,0.123969,2.183211,0.127355220237857
27900,0.125862,2.197273,0.129083747968906
28100,0.127501,2.197693,0.130803655550579
28300,0.12879,2.199662,0.13251506715752
28500,0.130525,2.213205,0.134218103406835
28700,0.132755,2.226227,0.135912881482613
28900,0.133332,2.217312,0.137599515255417
29100,0.13642,2.238271,0.139278115396994
29300,0.138388,2.240831,0.1409487894904
29500,0.140243,2.244318,0.14261164213577
29700,0.141559,2.247754,0.144266775051921
29900,0.143488,2.253966,0.145914287173983
30100,0.145573,2.253791,0.147554274747223
30300,0.146025,2.254368,0.149186831417254
30500,0.145916,2.25778,0.150812048316764
30700,0.150781,2.247653,0.152430014148945
30900,0.151657,2.269193,0.154040815267738
31100,0.151019,2.273199,0.15564453575506
31300,0.154164,2.260035,0.157241257495123
31500,0.155788,2.266792,0.158831060245984
31700,0.155527,2.273698,0.160414021708436
31900,0.157151,2.295442,0.161990217592352
32100,0.159143,2.298085,0.163559721680606
32300,0.161087,2.28632,0.165122605890641
32500,0.160091,2.30056,0.166678940333824
32700,0.162236,2.309242,0.168228793372637
32900,0.16471,2.295547,0.169772231675827
33100,0.166166,2.303044,0.171309320271583
33300,0.167624,2.304387,0.172840122598819
33500,0.170992,2.311919,0.174364700556646
33700,0.172633,2.328918,0.17588311455211
33900,0.170573,2.333905,0.177395423546251
34100,0.174218,2.343102,0.178901685098561
34300,0.177951,2.342137,0.180401955409909
34500,0.178481,2.35105,0.181896289363975
34700,0.178516,2.360314,0.183384740567276
34900,0.178892,2.362601,0.184867361387814
35100,0.183236,2.354118,0.186344202992421
35300,0.1816,2.367066,0.187815315382837
35500,0.182863,2.362711,0.189280747430575
35700,0.184192,2.378963,0.190740546910624
35900,0.189154,2.379653,0.192194760534018
36100,0.188181,2.379015,0.193643433979337
36300,0.190603,2.384341,0.195086611923162
36500,0.190573,2.392731,0.196524338069526
36700,0.194323,2.389241,0.197956655178411
36900,0.192381,2.40003,0.199383605093305
37100,0.193969,2.392119,0.200805228767874
37300,0.194749,2.414624,0.202221566291773
37500,0.199042,2.398051,0.203632656915616
37700,0.19982,2.423736,0.205038539075162
37900,0.201867,2.424591,0.20643925041472
38100,0.202612,2.41436,0.207834827809809
38300,0.203971,2.430984,0.209225307389114
38500,0.204254,2.438485,0.210610724555732
38700,0.207722,2.425979,0.211991114007771
38900,0.205878,2.450553,0.213366509758289
39100,0.209513,2.450702,0.214736945154622
39300,0.212108,2.444293,0.216102452897108
39500,0.210663,2.45538,0.217463065057238
39700,0.212269,2.467269,0.218818813095242
39900,0.215865,2.459164,0.220169727877138
40100,0.21559,2.462799,0.221515839691263
40300,0.214813,2.482592,0.222857178264296
40500,0.217789,2.487617,0.2241937727768
40700,0.221217,2.480099,0.225525651878288
40900,0.219134,2.482114,0.226852843701842
41100,0.220267,2.49873,0.228175375878289
41300,0.224419,2.495623,0.229493275549951
41500,0.225576,2.495377,0.230806569383988
41700,0.225028,2.500001,0.232115283585348
41900,0.228434,2.509997,0.233419443909322
42100,0.226758,2.511532,0.234719075673737
42300,0.227953,2.523987,0.236014203770792
42500,0.228976,2.529102,0.237304852678536
42700,0.234657,2.525705,0.238591046472016
42900,0.232292,2.530399,0.239872808834106
43100,0.236236,2.540119,0.241150163066007
43300,0.236133,2.532197,0.24242313209745
43500,0.236623,2.552106,0.243691738496609
43700,0.240755,2.548385,0.244956004479712
43900,0.241125,2.546958,0.246215951920396
44100,0.239465,2.55836,0.24747160235877
44300,0.240615,2.547583,0.248722977010241
44500,0.244076,2.549685,0.24997009677407
44700,0.244827,2.587888,0.251212982241696
44900,0.246139,2.592373,0.252451653704815
45100,0.248176,2.57265,0.253686131163235
45300,0.248811,2.576876,0.254916434332505
45500,0.248406,2.592035,0.256142582651335
45700,0.251375,2.59337,0.257364595288796
45900,0.254069,2.592104,0.258582491151325
46100,0.251597,2.592774,0.259796288889537
46300,0.253176,2.610441,0.261006006904835
46500,0.257164,2.605278,0.262211663355843
46700,0.25496,2.610029,0.26341327616466
46900,0.257016,2.612331,0.264610863022932
47100,0.261056,2.62212,0.265804441397769
47300,0.26197,2.631172,0.26699402853748
47500,0.260407,2.626413,0.268179641477166
47700,0.264254,2.629069,0.269361297044147
47900,0.265263,2.643077,0.270539011863242
48100,0.264036,2.642478,0.271712802361907
48300,0.26626,2.653191,0.272882684775226
48500,0.267818,2.643871,0.274048675150769
48700,0.267148,2.657419,0.275210789353313
48900,0.26936,2.660898,0.276369043069439
49100,0.269588,2.669184,0.277523451811994
49300,0.272244,2.661498,0.278674030924442
49500,0.272431,2.674224,0.279820795585085
49700,0.272943,2.675801,0.280963760811179
49900,0.276276,2.686741,0.282102941462932
50100,0.275812,2.693333,0.283238352247388
50300,0.276613,2.684273,0.28437000772222
50500,0.278207,2.698144,0.285497922299406
50700,0.281272,2.7013,0.286622110248812
50900,0.279875,2.701555,0.287742585701671
51100,0.282526,2.714057,0.288859362653981
51300,0.281894,2.711876,0.289972454969796
51500,0.283635,2.70798,0.291081876384434
51700,0.284775,2.725477,0.292187640507602
51900,0.288954,2.729368,0.293289760826429
52100,0.28951,2.724066,0.294388250708422
52300,0.290314,2.738752,0.295483123404341
52500,0.289273,2.742408,0.296574392050994
52700,0.293125,2.747152,0.29766206967396
52900,0.293027,2.751973,0.298746169190235
53100,0.29249,2.745905,0.299826703410809
53300,0.294442,2.75136,0.300903685043171
53500,0.298189,2.751793,0.30197712669375
53700,0.29842,2.761412,0.303047040870285
53900,0.297142,2.770558,0.304113439984137
54100,0.297621,2.772825,0.305176336352532
54300,0.300058,2.78313,0.306235742200748
54500,0.300619,2.790051,0.307291669664239
54700,0.305238,2.79141,0.308344130790711
54900,0.304517,2.78595,0.309393137542124
55100,0.303975,2.78722,0.31043870179666
55300,0.305297,2.79214,0.311480835350625
55500,0.308048,2.803792,0.3125195499203
55700,0.306877,2.80958,0.313554857143748
55900,0.307431,2.819033,0.314586768582569
56100,0.309801,2.824588,0.315615295723603
56300,0.310815,2.818774,0.316640449980595
56500,0.311351,2.827935,0.317662242695808
56700,0.313646,2.826639,0.318680685141595
56900,0.31243,2.835338,0.319695788521928
57100,0.315347,2.83797,0.320707563973884
57300,0.315282,2.847594,0.321716022569094
57500,0.319943,2.847686,0.322721175315148
57700,0.317078,2.8585,0.323723033156962
57900,0.321462,2.861198,0.324721606978112
58100,0.322762,2.864724,0.325716907602128
58300,0.323547,2.875697,0.326708945793751
58500,0.321566,2.879694,0.327697732260161
58700,0.324393,2.883682,0.328683277652162
58900,0.326083,2.889979,0.329665592565348
59100,0.325574,2.882219,0.33064468754122
59300,0.328062,2.89839,0.331620573068289
59500,0.326341,2.898331,0.332593259583134
59700,0.331649,2.90677,0.33356275747144
59900,0.332713,2.90492,0.334529077069006
60100,0.332962,2.912594,0.335492228662719
60300,0.33471,2.915317,0.336452222491508
60500,0.332541,2.925186,0.337409068747267
60700,0.333067,2.929404,0.338362777575753
60900,0.334822,2.93594,0.339313359077463
61100,0.335731,2.94008,0.340260823308477
61300,0.338743,2.935894,0.341205180281287
61500,0.338812,2.937848,0.342146439965596
61700,0.339299,2.943754,0.343084612289099
61900,0.338398,2.957165,0.344019707138238
62100,0.340749,2.962079,0.34495173435894
62300,0.342917,2.967852,0.345880703757325
62500,0.345495,2.971917,0.346806625100408
62700,0.343997,2.977715,0.347729508116766
62900,0.34593,2.971906,0.348649362497197
63100,0.345817,2.988027,0.349566197895354
63300,0.349325,2.98462,0.350480023928361
63500,0.347659,2.987404,0.351390850177417
63700,0.347845,3.001044,0.352298686188371
63900,0.352762,2.998408,0.353203541472295
64100,0.350685,3.009494,0.354105425506026
64300,0.353197,3.002873,0.355004347732701
64500,0.351326,3.011506,0.355900317562275
64700,0.354859,3.023108,0.356793344372021
64900,0.356034,3.017313,0.357683437507017
65100,0.354786,3.032381,0.358570606280618
65300,0.359253,3.030053,0.359454859974914
65500,0.35678,3.032601,0.360336207841175
