"frequency_hz","input_real","input_imag","input_mag","input_phase_rad","output_real","output_imag","output_mag","output_phase_rad","h_real","h_imag","h_mag","h_phase_rad"
"72300","-2205563","142499.984","4316.722","3.077","817751.25","128321","1616.715","0.156","-0.365482906071368","-0.0817942213699828","0.374523763304672","-2.92142290422533"
"72500","1500329.875","-1626436.875","4321.788","-0.826","797328.938","220230.516","1615.596","0.269","0.171163466297405","0.332338306093464","0.373825737332271","1.09519888277169"
"72700","-739710.312","-2085122.75","4321.18","-1.912","81474.008","817028.188","1603.673","1.471","-0.360348170756093","-0.0887618006271425","0.371119201090209","-2.90007831193999"
"72900","2091664.375","736897.125","4331.394","0.339","105444.047","811358.438","1598.011","1.442","0.166414885049084","0.3292726098326","0.368936804279367","1.1028368265889"
"73100","-2139340.75","568554.062","4323.441","2.882","818936.188","6168.98","1599.53","0.008","-0.356829497853369","-0.0977150743498685","0.369966925945398","-2.87430289869004"
"73300","23583.438","-2212615.75","4321.761","-1.56","739243.062","-348091.125","1595.893","-0.44","0.160863901706559","0.33238909112333","0.369269146788695","1.12006072340514"
"73500","-151154.328","-2208373.25","4323.32","-1.639","-175792.5","791745.438","1584.036","1.789","-0.351424893067749","-0.103656342311757","0.366393357976276","-2.85476595593734"
"73700","2161836.75","-509006.156","4337.796","-0.231","510348.125","632143.5","1586.799","0.892","0.158439843995562","0.329715162788967","0.365807699123861","1.12284120990472"
"73900","-824045.5","2055028.375","4324.394","1.952","520598.5","-621462.625","1583.403","-0.873","-0.34803205748808","-0.113771786324462","0.366156158493675","-2.82564295336204"
"74100","766669.625","2082236.875","4333.778","1.218","-570654.062","569485.75","1574.611","2.357","0.151985823002822","0.330018637253694","0.363334544639827","1.13921438622419"
"74300","-2210433.25","172577.203","4330.39","3.064","780312.75","205405.453","1575.967","0.257","-0.343663619705458","-0.119756594894518","0.363931759440953","-2.80628116689661"
"74500","-605247","2133976","4332.319","1.847","-793811.438","115770.695","1566.815","2.997","0.147861307058509","0.330050021877827","0.361657272934757","1.14960962918124"
"74700","2199094.75","326539.656","4342.2","0.147","216541.844","772395.062","1566.748","1.297","0.147373222728005","0.329350002107361","0.360818916723274","1.15005092873205"
"74900","1359255.125","-1759612.75","4342.711","-0.913","778025.688","194610.891","1566.398","0.245","0.14464459154962","0.330423148861957","0.360695876284173","1.15817134921907"
"75100","779895.375","2080789","4340.123","1.212","-574098.188","551494.438","1554.833","2.376","0.141721025641738","0.329022193234513","0.35824635762251","1.16407902256366"
