freq,gain
100,4.98
200,4.72
300,4.4
400,4.02
500,3.7
600,3.34
700,3.05
800,2.8
900,2.59
1000,2.38
1100,2.22
1200,2.08
1300,1.95
1400,1.83
1500,1.72
1600,1.64
1700,1.52
1800,1.44
1900,1.38
2000,1.31
2100,1.25
2200,1.21
2300,1.16
2400,1.11
2500,1.07
2600,1.04
2700,1
2800,0.964
2900,0.932
3000,0.904
